Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
KITIMAT 2,BRITISH COLUMBIA,1064321,403,,,54.01,-128.71,540035000,-1284218000,16.8,1966,2021,,,1966,2021,1966,2007
LUCY ISLAND LIGHTSTATION,BRITISH COLUMBIA,1064728,6824,71220,WLC,54.3,-130.61,541745312,-1303632400,2,1991,2021,1994,2021,1991,2021,1991,2000
MCINNES ISLAND,BRITISH COLUMBIA,1065010,409,71897,WMS,52.26,-128.72,521542000,-1284310000,25.9,1954,2021,1955,2001,1954,2021,1954,2007
PRINCE RUPERT,BRITISH COLUMBIA,1066482,48693,71022,YPR,54.29,-130.44,541710000,-1302641000,35.4,2010,2021,2010,2021,2010,2021,,
PRINCE RUPERT MONT CIRC,BRITISH COLUMBIA,1066488,424,,,54.32,-130.29,541913000,-1301724000,60,1959,2021,,,1959,2021,1959,2004
TERRACE PCC,BRITISH COLUMBIA,1068131,442,,,54.5,-128.62,543007000,-1283729000,67,1968,2021,,,1968,2021,1968,2007
TRIPLE ISLAND,BRITISH COLUMBIA,1068250,446,,WTI,54.29,-130.88,541740800,-1305249100,20.7,1953,2021,1953,2001,1989,2021,1989,2007
KITIMAT HATCHERY,BRITISH COLUMBIA,106D289,27121,,,54.04,-128.68,540237000,-1284056000,11,1995,2021,,,1995,2021,1995,2007
EQUITY SILVER,BRITISH COLUMBIA,1072692,461,,,54.2,-126.28,541155000,-1261635700,1280,1981,2021,,,1981,2021,1981,2007
HOUSTON,BRITISH COLUMBIA,1073615,470,,,54.4,-126.67,542347000,-1264004000,610,1957,2021,,,1957,2021,1957,2007
SMITHERS,BRITISH COLUMBIA,1077499,48628,71950,YYD,54.83,-127.18,544931000,-1271058000,523,2010,2021,2010,2021,2010,2021,,
SUSKWA VALLEY,BRITISH COLUMBIA,107G879,450,,,55.29,-127.17,551719000,-1271014000,534,1982,2021,,,1982,2021,1982,2007
OOTSA LAKESKINS LAKE CLIMATE,BRITISH COLUMBIA,1085836,43963,71679,VSL,53.77,-126,534618800,-1255948190,861,2005,2021,2005,2021,2005,2021,2006,2007
PEMBERTON AIRPORT (WIND),BRITISH COLUMBIA,1086081,46747,,WPN,50.3,-122.74,501808000,-1224417000,203,2007,2021,2007,2021,2018,2021,,
PEMBERTON AIRPORT CS,BRITISH COLUMBIA,1086082,536,71777,WGP,50.31,-122.73,501820326,-1224402720,204.31,1984,2021,1988,2021,1984,2021,1984,2006
PUNTZI MOUNTAIN (AUT),BRITISH COLUMBIA,1086558,8092,71050,WPU,52.11,-124.14,520652000,-1240808000,909.8,1993,2021,1994,2021,1993,2021,2005,2006
TATLAYOKO LAKE RCS,BRITISH COLUMBIA,1088015,30494,71028,XTL,51.67,-124.4,514028400,-1242411300,875,2000,2021,2000,2021,2000,2021,2004,2007
BARKERVILLE,BRITISH COLUMBIA,1090660,568,,,53.07,-121.51,530409000,-1213053000,1283,1888,2021,,,1888,2021,1888,2007
BURNS LAKE DECKER LAKE,BRITISH COLUMBIA,1091174,574,71952,WPZ,54.38,-125.96,542259400,-1255731200,713.2,1990,2021,1990,2021,1990,2021,1990,2006
MCLEESE LAKE GRANITE MT,BRITISH COLUMBIA,1095018,617,,,52.53,-122.29,523150009,-1221709008,1133,1972,2021,,,1972,2021,1972,2007
PRINCE GEORGE,BRITISH COLUMBIA,1096439,48370,71896,YXS,53.88,-122.68,535303000,-1224039000,691,2009,2021,2009,2021,2009,2021,,
PRINCE GEORGE AIRPORT AUTO,BRITISH COLUMBIA,1096453,48248,71302,VXS,53.89,-122.67,535320000,-1224019002,680,2009,2021,2009,2021,2009,2021,,
PRINCE GEORGE STP,BRITISH COLUMBIA,1096468,636,,,53.88,-122.77,535248000,-1224603000,579,1975,2021,,,1975,2021,1975,2007
QUESNEL,BRITISH COLUMBIA,1096629,48688,71192,YQZ,53.03,-122.51,530134000,-1223037000,545,2010,2021,2010,2021,2010,2021,,
QUESNEL AIRPORT AUTO,BRITISH COLUMBIA,1096631,48108,71779,VQZ,53.03,-122.51,530136008,-1223023007,545.3,2009,2021,2009,2021,2009,2021,,
SPOKIN LAKE 4E,BRITISH COLUMBIA,1097646,650,,,52.18,-121.69,521101014,-1214110039,1033,1983,2021,,,1983,2021,1983,2007
VANDERHOOF,BRITISH COLUMBIA,1098D90,655,,,54.03,-124.02,540200000,-1240100000,638,1980,2021,,,1980,2021,1980,2007
108 MILE HOUSE ABEL LAKE,BRITISH COLUMBIA,109E7R6,559,,,51.62,-121.26,513724031,-1211546069,1005,1987,2020,,,1987,2020,1987,2007
AGASSIZ RCS,BRITISH COLUMBIA,1100119,706,71113,WZA,49.24,-121.76,491435000,-1214537000,19.3,1988,2021,1994,2021,1988,2021,1988,2006
AGASSIZ CDA,BRITISH COLUMBIA,1100120,707,,,49.24,-121.76,491435000,-1214537000,15,1889,2021,,,1889,2021,1889,2007
WHISTLER - NESTERS,BRITISH COLUMBIA,1100875,43443,71687,VOC,50.13,-122.95,500744200,-1225716600,659,2005,2021,2005,2021,2005,2021,2005,2007
BURNABY SIMON FRASER U,BRITISH COLUMBIA,1101158,731,,,49.28,-122.92,491642200,-1225504960,365.8,1965,2020,,,1965,2020,1965,2007
CALLAGHAN VALLEY,BRITISH COLUMBIA,1101300,43500,71688,VOD,50.14,-123.11,500838059,-1230638010,884,2005,2021,2005,2021,2005,2021,2005,2007
CLOVERDALE EAST,BRITISH COLUMBIA,1101708,747,,,49.11,-122.7,490632950,-1224151350,50,1964,2021,,,1964,2021,1964,2007
DELTA BURNS BOG,BRITISH COLUMBIA,1102415,49088,71042,VBB,49.13,-123,490733053,-1230008085,3.11,2010,2021,2010,2021,2011,2021,,
DELTA TSAWWASSEN BEACH,BRITISH COLUMBIA,1102425,766,,,49.01,-123.09,490039400,-1230536000,2.4,1971,2021,,,1971,2021,1971,2007
FORT LANGLEY TELEGRAPH TRAIL,BRITISH COLUMBIA,1102912,43723,,,49.14,-122.55,490840800,-1223303600,76,2005,2021,,,2005,2021,2005,2007
HANEY UBC RF ADMIN,BRITISH COLUMBIA,1103332,776,,,49.26,-122.57,491552100,-1223423400,147,1961,2020,,,1961,2020,1961,2007
MISSION WEST ABBEY,BRITISH COLUMBIA,1105192,810,,,49.15,-122.27,490909002,-1221614001,197,1962,2021,,,1962,2021,1962,2007
N VANC GROUSE MTN RESORT,BRITISH COLUMBIA,1105658,823,,,49.38,-123.08,492252002,-1230442004,1103,1971,2021,,,1971,2021,1971,2007
N VANCOUVER WHARVES,BRITISH COLUMBIA,1105669,833,,,49.31,-123.12,491853220,-1230655000,7,1962,2021,,,1962,2021,1962,2007
PITT MEADOWS CS,BRITISH COLUMBIA,1106178,6830,71775,WMM,49.21,-122.69,491229964,-1224124076,5,1993,2021,1994,2021,1993,2021,1993,2007
POINT ATKINSON,BRITISH COLUMBIA,1106200,844,71037,WSB,49.33,-123.26,491949300,-1231553000,14,1968,2021,1996,2021,1968,2021,1968,2001
RICHMOND DALLYN 2,BRITISH COLUMBIA,1106764,853,,,49.18,-123.09,491043000,-1230513000,1.8,1963,2021,,,1963,2021,1963,2007
PORT MOODY GLENAYRE,BRITISH COLUMBIA,1106CL2,834,,,49.28,-122.88,491645000,-1225253000,129.5,1970,2021,,,1970,2021,1970,2007
RICHMOND NATURE PARK,BRITISH COLUMBIA,1106PF7,837,,,49.17,-123.09,491015000,-1230535000,3,1977,2021,,,1977,2021,1977,2007
SANDHEADS CS,BRITISH COLUMBIA,1107010,6831,71209,WVF,49.11,-123.3,490621225,-1231812123,11,1991,2021,1994,2021,1991,2021,1991,1999
SUMAS CANAL,BRITISH COLUMBIA,1107785,870,,,49.11,-122.11,490648008,-1220635004,9,1957,2021,,,1957,2021,1957,2007
VANCOUVER HARBOUR CS,BRITISH COLUMBIA,1108446,888,71201,WHC,49.3,-123.12,491743270,-1230718730,2.5,1925,2021,1976,2021,1925,2021,1925,2007
WEST VANCOUVER AUT,BRITISH COLUMBIA,1108824,6833,71784,WWA,49.35,-123.19,492049350,-1231135910,170.21,1992,2021,1994,2021,1992,2021,1992,2007
WHISTLER ROUNDHOUSE,BRITISH COLUMBIA,1108906,924,,,50.07,-122.95,500404000,-1225650000,1835,1972,2021,,,1972,2021,1973,2007
WHITE ROCK CAMPBELL SCIENTIFIC,BRITISH COLUMBIA,1108910,925,71785,WWK,49.02,-122.78,490105000,-1224702000,13,1929,2021,1994,2021,1929,2021,1929,2007
N VAN SEYMOUR HATCHERY,BRITISH COLUMBIA,110N666,698,,,49.44,-122.97,492615066,-1225801007,177,1981,2020,,,1981,2020,1981,2007
HOPE SLIDE,BRITISH COLUMBIA,1113581,951,,WKV,49.27,-121.23,491600000,-1211400000,685,1969,2021,1969,2014,1975,2021,1975,2007
LILLOOET,BRITISH COLUMBIA,1114619,27388,71999,WKF,50.68,-121.93,504101420,-1215602945,239.5,1997,2021,1997,2021,1997,2021,1997,2005
LYTTON RCS,BRITISH COLUMBIA,1114746,44927,71765,VLY,50.22,-121.58,501328000,-1213455000,225,2006,2021,2006,2021,2006,2021,2006,2006
JELLICOE,BRITISH COLUMBIA,1123721,27122,,,49.67,-120.33,494022000,-1201958000,929,1995,2021,,,1995,2021,1995,2007
KELOWNA,BRITISH COLUMBIA,1123939,48369,71203,YLW,49.96,-119.38,495726000,-1192240000,433.1,2009,2021,2009,2021,2009,2021,,
MERRITT STP,BRITISH COLUMBIA,1125079,1022,,,50.11,-120.8,500651004,-1204803005,609,1968,2021,,,1968,2021,1968,2007
OKANAGAN CENTRE,BRITISH COLUMBIA,1125700,1032,,,50.06,-119.45,500322100,-1192642400,370,1925,2021,,,1925,2021,1925,2007
OLIVER STP,BRITISH COLUMBIA,1125766,1039,,,49.18,-119.54,491044500,-1193240900,297.2,1924,2021,,,1924,2021,1924,2007
OSOYOOS CS,BRITISH COLUMBIA,1125852,1041,71215,WYY,49.03,-119.44,490141850,-1192627570,282.9,1990,2021,1994,2021,1990,2021,1990,2006
PEACHLAND,BRITISH COLUMBIA,1126070,1046,,,49.78,-119.72,494700000,-1194300000,345,1971,2021,,,1971,2021,1971,2007
PRINCETON A,BRITISH COLUMBIA,1126510,1056,,YDC,49.47,-120.51,492804000,-1203045000,701.65,1936,2021,1953,2013,1936,2021,1937,2007
VERNON AUTO,BRITISH COLUMBIA,1128582,46987,71115,WJV,50.22,-119.19,501323900,-1191136700,482,2005,2021,2007,2021,2005,2021,,
VERNON NORTH,BRITISH COLUMBIA,1128583,1069,,,50.34,-119.27,502039600,-1191617000,538,1990,2020,,,1990,2020,1990,2007
VERNON SILVER STAR LODGE,BRITISH COLUMBIA,1128584,1070,,,50.36,-119.06,502132500,-1190322300,1585.6,1970,2021,,,1970,2021,1970,2007
PRINCETON CS,BRITISH COLUMBIA,112FN0M,6834,71032,WPR,49.47,-120.51,492754000,-1203036000,696.5,1992,2021,1994,2021,1992,2021,1993,2006
SUMMERLAND CS,BRITISH COLUMBIA,112G8L1,979,71768,WUS,49.56,-119.65,493345200,-1193855300,454.2,1990,2021,1994,2021,1990,2021,1990,2006
MIDWAY,BRITISH COLUMBIA,1135126,1091,,,49,-118.77,490013264,-1184618507,571,1987,2021,,,1987,2021,1987,2007
BILLINGS,BRITISH COLUMBIA,1140876,1100,,,49.02,-118.23,490100600,-1181342300,519,1984,2021,,,1984,2021,1984,2007
CASTLEGAR A,BRITISH COLUMBIA,1141455,1105,,YCG,49.3,-117.63,491747000,-1173757000,495.6,1954,2021,1954,2013,1965,2021,1966,2007
CASTLEGAR BCHPA DAM,BRITISH COLUMBIA,1141457,1106,,,49.34,-117.77,492036220,-1174627040,435,1969,2021,,,1969,2021,1969,2007
DUNCAN LAKE DAM,BRITISH COLUMBIA,1142574,1115,,,50.24,-116.97,501419200,-1165817500,548.6,1963,2021,,,1963,2021,1963,2007
NAKUSP CS,BRITISH COLUMBIA,1145297,6840,71216,WNP,50.27,-117.82,501609930,-1174901540,512.1,1991,2021,1994,2021,1991,2021,1991,2006
NELSON NE,BRITISH COLUMBIA,1145442,1137,,,49.59,-117.21,493510000,-1171223000,570,1983,2021,,,1983,2021,1983,2007
NEW DENVER,BRITISH COLUMBIA,1145460,1142,,,50,-117.37,495945006,-1172213026,568,1924,2021,,,1924,2021,1924,2007
NELSON CS,BRITISH COLUMBIA,1145M29,6839,71776,WNM,49.49,-117.31,492929000,-1171819000,534.9,1992,2021,1994,2021,1992,2021,1992,2006
WARFIELD RCS,BRITISH COLUMBIA,1148705,31067,71401,XWF,49.11,-117.74,490643000,-1174420000,566.9,2001,2021,2001,2021,2001,2021,2002,2007
CRESTON CAMPBELL SCIENTIFIC,BRITISH COLUMBIA,114B1F0,6838,71770,WJR,49.08,-116.5,490454082,-1163002449,640.7,1993,2021,1994,2021,1993,2021,1993,2006
